"filename", "language", "JSON", "PHP", "CSS", "JavaScript", "XML", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\package-lock.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\package.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 22, 67
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Console\Kernel.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 12, 6, 33
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Exceptions\Handler.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 23, 7, 51
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 9, 11, 49
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 6, 7, 42
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 3, 6, 26
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 14, 8, 62
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 3, 6, 30
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 11, 7, 45
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 8, 9, 52
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 3, 6, 29
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\Controller.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\ProfileController.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 9, 14, 61
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\admin\AdminController.php", "PHP", 0, 232, 0, 0, 0, 0, 0, 22, 32, 286
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\admin\CategoryController.php", "PHP", 0, 110, 0, 0, 0, 0, 0, 15, 21, 146
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Controllers\admin\SectionController.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 2, 13, 74
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Kernel.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 21, 7, 69
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\Admin.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 7, 4, 26
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\Authenticate.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 6, 4, 22
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 8, 6, 33
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\TrimStrings.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 5, 4, 20
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\TrustHosts.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 5, 4, 21
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\TrustProxies.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 10, 5, 29
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 11, 4, 23
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 21, 14, 86
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Models\Admin.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Models\Category.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Models\Country.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Models\Section.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Models\User.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 16, 8, 46
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Models\Vendor.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Models\VendorsBankDetail.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Models\VendorsBusinessDetail.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 12, 5, 29
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Providers\AuthServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 13, 6, 31
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 16, 6, 43
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\Providers\RouteServiceProvider.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 17, 8, 53
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\View\Components\AppLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\app\View\Components\GuestLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 30, 9, 56
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\composer.json", "JSON", 67, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\composer.lock", "JSON", 8391, 0, 0, 0, 0, 0, 0, 0, 1, 8392
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\app.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 134, 34, 216
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\auth.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 70, 14, 120
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\broadcasting.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 23, 13, 71
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\cache.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 34, 19, 111
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\cors.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 12, 12, 35
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 47, 22, 152
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 32, 13, 77
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\hashing.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 32, 9, 53
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\logging.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 34, 19, 123
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\mail.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 47, 19, 119
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\queue.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 32, 15, 94
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\sanctum.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 41, 12, 68
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 11, 7, 35
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\session.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 147, 33, 202
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 20, 7, 37
"c:\Users\mjmac\OneDrive\Desktop\Laravel Final\wavepad-ecom\database\factories\UserFactory.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 13, 5, 41
